Part,Age,Age_Group,Adult,Country,Prime,HDT,Bio_SummScore,Psych_SummScore,TotalCessation,MoreMind,MoreBody,EqualMindBody,ResponseType,BeliefLevel,Overall_Summ,Religion,Religion_edited,Religiosity,RB_Summ,RF_Summ,Intrinsic_Summ,Extrinsic_Summ,Es_Summ,Ep_Summ,RC_Summ,PI_1,CRT_Score,Education,Ethnicity,Income,Political
41,10,1,0,1,1,460,2,1,0,0,1,0,3,2,3,1,Non-religious,1,10,,,,,,,3,,8,3,6,
43,13,2,0,1,2,104,0,0,1,0,0,0,1,1,0,4,Christian,2,20,,,,,,,6,,6,3,6,
44,11,1,0,1,2,302,4,7,0,1,0,0,2,3,10,4,Christian,2,22,,,,,,,6,,6,3,6,
45,13,2,0,1,2,500,1,4,0,1,0,0,2,2,5,4,Christian,2,26,,,,,,,5,,6,3,4,
46,13,2,0,1,2,140,5,5,0,0,0,1,4,3,10,4,Christian,2,26,,,,,,,5,,6,3,4,
47,13,2,0,1,2,480,0,4,0,1,0,0,2,2,4,4,Christian,2,31,,,,,,,7,,6,3,6,
48,10,1,0,1,1,221,2,2,0,1,0,0,2,2,4,4,Christian,2,30,,,,,,,4,,6,4,6,
49,9,1,0,1,2,172,4,4,0,0,1,0,3,3,8,4,Christian,2,30,,,,,,,6,,6,4,6,
50,15,2,0,1,2,33,3,5,0,1,0,0,2,3,8,8,Christian,2,33,,,,,,,6,,6,3,2,
51,16,2,0,1,1,360,1,0,0,0,1,0,3,2,1,8,Christian,2,15,,,,,,,3,,6,3,6,
52,14,2,0,1,1,380,2,0,0,0,1,0,3,2,2,1,Non-religious,1,19,,,,,,,3,,8,3,5,
53,9,1,0,1,2,282,2,4,0,1,0,0,2,2,6,8,Christian,2,28,,,,,,,2,,6,3,5,
54,10,1,0,1,1,203,0,2,0,1,0,0,2,2,2,8,Christian,2,13,,,,,,,6,,6,3,5,
55,10,1,0,1,1,400,0,2,0,1,0,0,2,2,2,9,Other,2,35,,,,,,,5,,6,1,4,
56,11,1,0,1,2,5,5,1,0,0,1,0,3,2,6,,,,,,,,,,,,,,,,
57,15,2,0,1,2,220,4,5,0,1,0,0,2,3,8,,,,,,,,,,,,,,,,
58,13,2,0,1,2,23,5,6,0,1,0,0,2,3,11,,,,,,,,,,,,,,,,
59,7,1,0,1,2,5,0,0,1,0,0,0,1,1,0,2,Non-religious,1,7,,,,,,,2,,6,3,6,
60,9,1,0,1,1,141,0,2,0,1,0,0,2,2,2,4,Christian,2,31,,,,,,,5,,8,3,6,
61,7,1,0,1,2,50,4,5,0,1,0,0,2,3,9,,Other,,,,,,,,,,,,,,
63,8,1,0,1,2,23,2,3,0,1,0,0,2,2,5,1,Non-religious,1,25,,,,,,,3,,5,3,3,
64,12,1,0,1,2,14,5,4,0,0,1,0,3,3,9,2,Non-religious,1,6,,,,,,,2,,4,7,6,
65,10,1,0,1,1,5,4,5,0,1,0,0,2,3,10,9,Other,2,5,,,,,,,1,,1,1,1,
66,9,1,0,1,1,130,2,0,0,0,1,0,3,2,2,8,Christian,2,34,,,,,,,5,,6,3,3,
67,9,1,0,1,1,250,2,2,0,0,0,1,4,2,4,1,Non-religious,1,7,,,,,,,1,,8,3,5,
68,8,1,0,1,1,460,1,1,0,0,0,1,4,2,2,6,Judaism,2,13,,,,,,,2,,8,3,4,
69,8,1,0,1,2,23,1,1,0,0,0,1,4,2,2,1,Non-religious,1,8,,,,,,,5,,6,3,6,
70,12,1,0,1,2,33,3,5,0,1,0,0,2,3,8,,Other,,,,,,,,,,,,,,
77,10,1,0,1,2,183,3,5,0,1,0,0,2,3,8,4,Christian,2,13,,,,,,,4,,3,4,1,
79,9,1,0,1,1,261,1,1,0,0,0,1,4,2,2,3,Buddhist,2,27,,,,,,,2,,8,3,6,
80,9,1,0,1,2,133,5,7,0,1,0,0,2,3,12,9,Other,2,34,,,,,,,5,,4,3,3,
81,7,1,0,1,2,500,5,4,0,0,1,0,3,3,9,,Other,,,,,,,,,,,,,,
82,11,1,0,1,1,54,0,4,0,1,0,0,2,2,4,,Other,,,,,,,,,,,,,,
